DateKey,Date,Year,Month,Day
1,2023-09-14,2023,9,14
2,2023-02-11,2023,2,11
3,2021-11-12,2021,11,12
4,2023-04-22,2023,4,22
5,2022-12-08,2022,12,8
6,2023-09-13,2023,9,13
7,2023-07-19,2023,7,19
8,2023-08-20,2023,8,20
9,2023-07-15,2023,7,15
10,2022-05-06,2022,5,6
11,2023-09-19,2023,9,19
12,2022-10-19,2022,10,19
13,2022-08-30,2022,8,30
14,2023-01-25,2023,1,25
15,2022-11-02,2022,11,2
16,2023-07-29,2023,7,29
17,2022-02-09,2022,2,9
18,2023-04-25,2023,4,25
19,2022-10-06,2022,10,6
20,2023-09-20,2023,9,20
21,2023-05-17,2023,5,17
22,2022-04-19,2022,4,19
23,2022-03-11,2022,3,11
24,2023-03-15,2023,3,15
25,2022-07-20,2022,7,20
26,2023-07-03,2023,7,3
27,2023-04-05,2023,4,5
28,2022-01-12,2022,1,12
29,2022-01-22,2022,1,22
30,2022-11-22,2022,11,22
31,2022-03-25,2022,3,25
32,2022-10-04,2022,10,4
33,2023-01-28,2023,1,28
34,2022-01-13,2022,1,13
35,2022-04-10,2022,4,10
36,2021-11-20,2021,11,20
37,2022-02-16,2022,2,16
38,2022-12-07,2022,12,7
39,2022-11-09,2022,11,9
40,2022-03-08,2022,3,8
41,2023-06-10,2023,6,10
42,2022-12-04,2022,12,4
43,2022-12-13,2022,12,13
44,2022-07-17,2022,7,17
45,2022-10-31,2022,10,31
46,2022-03-28,2022,3,28
47,2022-11-05,2022,11,5
48,2023-01-19,2023,1,19
49,2021-11-18,2021,11,18
50,2023-01-13,2023,1,13
51,2023-09-12,2023,9,12
52,2023-03-29,2023,3,29
53,2023-06-04,2023,6,4
54,2022-01-28,2022,1,28
55,2023-03-21,2023,3,21
56,2023-06-11,2023,6,11
57,2023-06-01,2023,6,1
58,2021-12-22,2021,12,22
59,2021-11-17,2021,11,17
60,2022-07-21,2022,7,21
61,2022-07-05,2022,7,5
62,2022-05-13,2022,5,13
63,2023-08-09,2023,8,9
64,2022-06-30,2022,6,30
65,2023-06-20,2023,6,20
