SupplierKey,SupplierName,SupplierLocation,SupplierContact
8,Brown-Miller,Seanfort,(502)758-2166
28,Brown-Miller,Seanfort,NonExistentSupplierContact
5,Campos-Murillo,Lawsontown,822-222-4939
36,Campos-Murillo,Lawsontown,NonExistentSupplierContact
9,"Colon, Palmer and Welch",Antonioshire,230-757-6575x898
26,"Colon, Palmer and Welch",Antonioshire,NonExistentSupplierContact
18,"Gilbert, Miller and Lee",Lake Juanland,+1-619-677-8121x28226
34,"Gilbert, Miller and Lee",Lake Juanland,NonExistentSupplierContact
19,Higgins and Sons,West Johnbury,230-568-4141
39,Higgins and Sons,West Johnbury,NonExistentSupplierContact
21,King-Rodriguez,South Lindatown,7724600682
20,King-Rodriguez,South Lindatown,NonExistentSupplierContact
15,Lawson-Wilkins,Calderonchester,(277)930-2705x3206
2,Lawson-Wilkins,Calderonchester,NonExistentSupplierContact
3,Lee-Miller,South Emilyview,+1-588-750-7646
22,Lee-Miller,South Emilyview,NonExistentSupplierContact
10,"Mack, Wright and Mclaughlin",Alexandrachester,856-399-9995x715
31,"Mack, Wright and Mclaughlin",Alexandrachester,NonExistentSupplierContact
12,"Mathis, Olson and Ryan",Herreraland,(906)306-1777x264
13,"Mathis, Olson and Ryan",Herreraland,NonExistentSupplierContact
14,Peck Group,West Lindafurt,+1-838-976-6137
29,Peck Group,West Lindafurt,NonExistentSupplierContact
24,"Ramirez, Hicks and Lara",Dustinmouth,853-738-3918
16,"Ramirez, Hicks and Lara",Dustinmouth,NonExistentSupplierContact
23,Randall-Ballard,Popeport,933.564.7029x6917
35,Randall-Ballard,Popeport,NonExistentSupplierContact
1,"Rodriguez, Winters and Perez",Irwinhaven,6538306661
37,"Rodriguez, Winters and Perez",Irwinhaven,NonExistentSupplierContact
11,Roman-Chambers,Dennischester,001-324-909-1637x2831
33,Roman-Chambers,Dennischester,NonExistentSupplierContact
17,Smith PLC,Lake Candiceton,459-301-8580
38,Smith PLC,Lake Candiceton,NonExistentSupplierContact
4,Soto-Rivera,West Denise,805-650-6257x5876
40,Soto-Rivera,West Denise,NonExistentSupplierContact
25,"Thornton, Jackson and Gray",Leslieville,001-575-242-3572x740
32,"Thornton, Jackson and Gray",Leslieville,NonExistentSupplierContact
6,"Wagner, Jackson and Holt",Port Sarahview,+1-362-752-2777x1817
27,"Wagner, Jackson and Holt",Port Sarahview,NonExistentSupplierContact
7,White and Sons,West Scott,288-572-7043
30,White and Sons,West Scott,NonExistentSupplierContact
