ProductKey,ProductName,ProductCategory,ProductSubCategory
1,Nathaniel,Electronics,Camera
2,NonExistentProduct,Electronics,Mobile
3,Angela,InvalidCategory,Action Figures
4,Amy,Home & Garden,Decor
5,Justin,Electronics,Headphones
6,NonExistentProduct,Electronics,Camera
7,Shannon,Home & Garden,Gardening Tools
8,NonExistentProduct,Home & Garden,Decor
9,Martha,Books,Fiction
10,Elizabeth,InvalidCategory,Shirt
11,Jamie,Books,Fiction
12,NonExistentProduct,Books,Fiction
13,Robert,Electronics,Mobile
14,Shawn,Electronics,Headphones
15,Anthony,Books,Academic
16,Pamela,Electronics,Headphones
17,Elizabeth,Clothing,Shirt
18,Fred,InvalidCategory,Academic
19,Wanda,Toys,Educational
20,Angela,Toys,Action Figures
21,NonExistentProduct,Books,Academic
22,Cynthia,Electronics,Headphones
23,Marvin,Clothing,Shirt
24,Katie,Books,Non-fiction
25,Martha,InvalidCategory,Fiction
26,NonExistentProduct,InvalidCategory,Dolls
27,Tammy,InvalidCategory,Furniture
28,Michael,InvalidCategory,Dolls
29,NonExistentProduct,Clothing,Shirt
30,Tammy,Home & Garden,Furniture
31,Kristine,Electronics,Headphones
32,NonExistentProduct,Books,Non-fiction
33,Shawn,InvalidCategory,Headphones
34,Jamie,InvalidCategory,Fiction
35,Michael,Toys,Dolls
36,Fred,Books,Academic
37,Nathaniel,InvalidCategory,Camera
38,Pamela,InvalidCategory,Headphones
39,Shannon,InvalidCategory,Gardening Tools
40,Cynthia,InvalidCategory,Headphones
41,NonExistentProduct,Electronics,Headphones
42,NonExistentProduct,Toys,Dolls
43,Wanda,InvalidCategory,Educational
44,Anthony,InvalidCategory,Academic
45,NonExistentProduct,Toys,Educational
46,Amy,InvalidCategory,Decor
47,Justin,InvalidCategory,Headphones
48,NonExistentProduct,Home & Garden,Furniture
49,Robert,InvalidCategory,Mobile
50,Katie,InvalidCategory,Non-fiction
51,Marvin,InvalidCategory,Shirt
52,NonExistentProduct,Home & Garden,Gardening Tools
53,NonExistentProduct,Toys,Action Figures
54,NonExistentProduct,InvalidCategory,Non-fiction
55,NonExistentProduct,InvalidCategory,Academic
56,NonExistentProduct,InvalidCategory,Fiction
57,Kristine,InvalidCategory,Headphones
58,NonExistentProduct,InvalidCategory,Decor
59,NonExistentProduct,InvalidCategory,Educational
60,NonExistentProduct,InvalidCategory,Shirt
61,NonExistentProduct,InvalidCategory,Headphones
62,NonExistentProduct,InvalidCategory,Mobile
63,NonExistentProduct,InvalidCategory,Camera
64,NonExistentProduct,InvalidCategory,Gardening Tools
65,NonExistentProduct,InvalidCategory,Furniture
