DateKey,ProductKey,SupplierKey,StockReceived,StockSold,StockOnHand
1,1,1,475,127,348
2,21,15,487,243,244
3,3,3,341,188,153
730,4,4,500,124,376
4,1,1,429,351,78
5,21,4,79,61,18
6,5,4,339,296,43
7,21,5,305,53,252
8,7,6,440,338,102
9,21,7,260,254,6
730,9,8,238,161,77
10,5,9,121,13,108
11,17,10,290,147,143
12,11,11,319,94,225
13,21,12,232,3,229
14,11,3,250,130,120
15,13,11,214,113,101
16,14,12,412,41,371
17,15,12,295,93,202
18,11,11,356,147,209
19,16,6,457,133,324
20,17,14,346,269,77
21,36,15,321,104,217
22,21,24,210,10,200
23,43,7,457,181,276
24,4,11,253,65,188
25,43,6,409,46,363
26,3,17,486,26,460
3,21,7,209,47,162
27,22,8,100,40,60
28,14,18,327,170,157
29,23,5,427,169,258
30,24,17,58,38,20
31,4,7,349,161,188
32,9,9,225,192,33
730,21,9,312,194,118
33,16,19,160,157,3
34,1,5,147,69,78
35,3,11,322,259,63
730,22,19,154,35,119
36,21,24,55,26,29
37,30,21,438,22,416
38,16,21,280,134,146
39,1,8,223,168,55
40,17,5,441,107,334
41,5,17,143,42,101
42,14,12,154,151,3
43,9,5,479,105,374
44,4,3,210,18,192
45,3,8,142,20,122
46,23,7,211,51,160
47,28,7,427,49,378
48,21,19,422,187,235
49,13,21,471,357,114
730,7,6,500,355,145
730,30,7,157,35,122
50,31,23,394,346,48
730,13,11,330,100,230
51,13,21,175,163,12
52,3,24,260,158,102
53,30,25,491,140,351
54,9,10,254,116,138
55,7,18,67,52,15
730,21,11,484,395,89
56,14,6,374,177,197
57,24,4,193,102,91
58,11,18,220,73,147
730,28,18,286,222,64
59,22,4,332,223,109
60,43,21,125,6,119
61,36,21,481,72,409
62,1,7,281,111,170
63,7,11,202,38,164
64,28,18,71,11,60
65,16,3,372,189,183
66,31,3,66,35,31
67,13,7,264,200,64
68,21,23,332,301,31
69,21,9,128,40,88
70,5,6,432,346,86
71,31,23,112,82,30
39,21,6,487,104,383
72,28,8,224,211,13
73,9,18,243,235,8
74,11,23,144,44,100
75,3,8,282,191,91
76,5,14,496,214,282
4,21,10,484,281,203
77,16,4,225,138,87
78,1,11,474,5,469
730,28,10,483,102,381
79,28,6,405,114,291
80,7,25,340,34,306
730,15,24,134,43,91
81,17,1,221,159,62
67,23,5,365,122,243
730,14,19,463,121,342
82,36,24,417,272,145
83,36,6,55,40,15
84,11,18,381,78,303
85,15,14,71,37,34
86,16,3,400,90,310
87,7,8,106,24,82
88,30,4,358,162,196
56,22,11,104,92,12
89,23,14,247,43,204
90,22,23,488,459,29
91,36,14,411,304,107
92,21,17,140,114,26
730,7,25,293,126,167
93,30,24,175,99,76
94,24,8,500,380,120
730,14,23,411,274,137
95,1,7,151,115,36
96,16,6,151,61,90
97,30,10,362,212,150
98,23,17,57,18,39
99,28,5,414,305,109
730,21,17,299,27,272
100,4,7,396,272,124
101,3,8,313,95,218
102,4,11,311,28,283
103,13,18,457,445,12
104,11,23,148,98,50
105,21,24,452,293,159
730,21,8,276,107,169
730,7,24,488,106,382
730,9,14,380,137,243
106,22,7,439,352,87
107,36,10,302,29,273
9,21,1,170,1,169
108,9,4,266,29,237
109,36,23,259,8,251
110,28,14,73,31,42
111,14,24,102,9,93
112,23,23,422,159,263
113,43,10,67,52,15
114,28,25,284,240,44
115,22,8,72,57,15
116,15,3,131,57,74
78,31,24,140,90,50
7,22,15,415,83,332
117,43,10,210,159,51
118,11,15,486,358,128
109,28,18,378,86,292
119,11,15,263,101,162
120,9,18,122,50,72
121,23,12,372,76,296
730,5,12,270,170,100
122,7,10,371,62,309
14,30,7,262,153,109
123,13,3,369,313,56
124,17,24,113,28,85
730,17,7,216,164,52
125,31,5,147,12,135
30,14,9,291,153,138
126,11,17,222,42,180
127,4,14,228,38,190
128,5,5,490,301,189
129,24,21,440,54,386
123,21,14,163,126,37
110,1,10,369,165,204
130,13,3,455,37,418
131,21,7,121,23,98
132,4,1,403,340,63
730,22,9,333,156,177
35,7,8,430,410,20
133,7,9,258,248,10
134,31,24,282,166,116
135,14,7,312,5,307
34,15,18,262,183,79
136,16,14,439,31,408
137,24,10,59,10,49
138,15,14,354,131,223
139,23,3,106,24,82
140,4,23,460,426,34
141,5,8,185,173,12
142,28,3,420,31,389
63,4,9,371,56,315
143,31,25,222,208,14
144,17,6,244,78,166
145,30,12,93,29,64
146,9,21,224,82,142
26,22,11,267,157,110
730,21,8,220,194,26
147,17,14,207,197,10
148,7,19,319,226,93
730,5,11,392,189,203
730,13,17,488,322,166
149,30,23,307,288,19
150,22,9,449,291,158
151,14,19,118,51,67
152,11,10,122,8,114
153,15,1,380,221,159
154,4,6,106,22,84
155,16,19,143,66,77
156,3,10,156,122,34
157,16,10,380,251,129
158,22,21,231,223,8
159,23,7,289,71,218
160,14,25,228,158,70
161,24,7,387,335,52
98,9,21,257,180,77
18,22,23,92,8,84
730,16,15,417,28,389
74,21,8,157,36,121
162,31,17,338,179,159
163,43,6,239,62,177
137,3,12,423,402,21
164,22,11,290,239,51
165,9,3,132,49,83
166,1,14,335,88,247
167,22,5,382,159,223
168,1,3,484,65,419
169,7,12,362,258,104
170,5,10,333,231,102
139,24,5,307,246,61
171,4,12,182,168,14
60,21,24,465,201,264
730,5,25,137,8,129
172,30,3,133,25,108
106,21,21,168,65,103
173,13,9,68,15,53
28,22,23,356,55,301
730,15,6,167,36,131
174,43,17,183,70,113
75,17,1,433,374,59
175,22,8,376,229,147
176,13,18,347,324,23
730,21,7,479,241,238
161,31,8,260,65,195
174,28,12,271,218,53
177,24,6,182,160,22
51,1,23,450,365,85
178,15,12,78,49,29
179,17,21,315,200,115
160,3,6,477,447,30
172,3,7,53,14,39
29,14,17,115,85,30
730,31,1,162,55,107
180,9,23,497,319,178
181,15,12,154,9,145
182,31,5,400,15,385
133,21,25,357,210,147
183,3,23,271,178,93
184,9,21,386,226,160
730,30,24,166,33,133
185,3,14,438,90,348
186,7,17,285,82,203
187,13,21,79,29,50
188,23,23,279,150,129
189,21,24,492,234,258
190,3,17,263,47,216
115,31,10,114,91,23
174,23,21,258,213,45
191,24,18,143,133,10
189,31,17,307,47,260
56,4,23,234,42,192
192,31,7,178,119,59
193,4,24,120,7,113
194,15,9,367,52,315
182,14,3,318,58,260
195,9,9,424,118,306
196,21,12,125,33,92
730,13,11,435,124,311
197,13,12,244,145,99
730,17,11,390,160,230
154,30,3,458,330,128
198,21,3,285,269,16
730,36,23,202,133,69
199,36,17,435,419,16
200,31,11,444,428,16
131,22,24,462,22,440
201,4,1,302,6,296
202,24,4,447,131,316
203,3,11,342,300,42
113,1,8,163,96,67
204,31,3,184,118,66
205,4,19,338,4,334
206,1,24,72,65,7
207,21,5,110,99,11
208,43,17,339,88,251
209,24,8,291,175,116
730,3,25,281,150,131
210,15,18,282,89,193
70,3,17,176,133,43
211,11,1,99,68,31
134,31,12,470,397,73
212,5,7,334,114,220
213,11,4,157,58,99
65,16,6,312,275,37
159,11,18,391,385,6
109,31,17,362,25,337
214,5,3,210,85,125
215,24,7,112,27,85
216,43,10,351,343,8
217,31,19,260,97,163
218,4,9,316,257,59
219,22,18,446,439,7
220,24,11,223,47,176
221,28,24,375,273,102
195,3,15,63,46,17
222,15,7,113,103,10
86,15,7,401,260,141
223,43,6,339,112,227
123,5,10,53,52,1
18,14,1,428,200,228
224,21,11,152,6,146
225,24,14,131,2,129
226,16,15,393,28,365
227,3,11,333,246,87
228,5,11,75,38,37
229,3,4,256,170,86
230,28,15,290,195,95
231,17,15,457,436,21
14,5,15,339,171,168
730,24,5,248,74,174
232,21,10,120,75,45
233,11,17,141,39,102
234,9,11,142,64,78
235,23,10,472,332,140
80,21,9,351,118,233
236,4,14,120,78,42
32,30,7,416,390,26
730,28,11,270,181,89
237,24,19,483,442,41
170,17,1,171,87,84
238,28,14,398,232,166
239,15,12,55,53,2
240,11,21,194,178,16
87,11,24,293,116,177
241,30,12,299,235,64
242,4,19,333,181,152
243,1,6,168,134,34
210,15,12,70,5,65
133,1,17,105,36,69
730,1,23,220,146,74
218,21,5,336,196,140
244,21,14,205,88,117
245,3,14,101,45,56
246,16,6,207,47,160
247,7,14,97,7,90
248,13,4,278,99,179
730,13,1,265,78,187
111,3,25,271,129,142
206,4,25,290,130,160
249,3,8,348,152,196
250,11,21,219,46,173
251,3,15,90,35,55
252,21,3,138,31,107
253,31,11,239,144,95
38,15,1,449,191,258
254,43,8,410,177,233
255,1,8,188,176,12
256,7,4,50,20,30
257,28,18,332,82,250
258,7,11,462,102,360
259,3,6,132,24,108
260,7,25,163,131,32
125,21,7,306,84,222
261,21,18,374,288,86
53,23,8,455,304,151
262,24,23,219,164,55
167,21,10,341,56,285
263,22,21,454,177,277
62,1,4,345,229,116
165,15,18,163,160,3
264,15,15,473,311,162
235,15,18,440,321,119
265,28,24,410,190,220
730,16,5,198,140,58
226,17,25,247,43,204
266,14,1,421,177,244
267,43,15,366,316,50
268,13,1,127,93,34
269,28,15,94,27,67
151,5,25,156,40,116
270,15,10,186,43,143
271,4,15,295,201,94
272,9,10,296,25,271
273,30,21,445,265,180
274,24,19,154,133,21
275,36,7,465,247,218
276,43,8,362,67,295
134,22,5,257,129,128
277,13,3,468,134,334
730,11,6,290,61,229
175,7,5,110,4,106
278,22,7,79,78,1
98,3,1,340,317,23
730,30,23,386,67,319
279,7,14,376,288,88
259,36,11,316,312,4
