DateKey,ProductKey,CustomerKey,SupplierKey,ShipperKey,QuantitySold,TotalAmount,DiscountAmount,NetAmount
1,1,1,1,15,49,31965.15,121.07,31844.08
2,21,2,15,2,73,61862.39,91.09,61771.3
3,3,2,3,2,89,34404.73,10.56,34394.17
730,4,2,4,4,3,1092.03,69.06,1022.97
4,1,2,1,16,75,48926.25,137.17,48789.08
5,21,2,4,8,63,53388.09,103.22,53284.87
6,5,1,4,15,39,25741.95,104.2,25637.75
7,21,1,5,17,60,39141.0,121.19,39019.81
8,7,2,6,8,92,6256.92,18.11,6238.81
9,21,2,7,2,55,20020.55,53.26,19967.29
730,9,2,8,4,23,9961.3,33.11,9928.19
10,5,1,9,15,1,660.05,56.28,603.77
11,17,3,10,17,93,78137.67,251.64,77886.03
12,11,3,11,15,60,55818.0,136.73,55681.27
13,21,3,12,15,43,18623.3,37.6,18585.7
14,11,1,3,8,11,10233.3,160.82,10072.48
15,13,1,11,17,67,56777.81,104.73,56673.08
16,14,1,12,4,51,23515.59,92.28,23423.31
17,15,2,12,2,6,4160.34,128.46,4031.88
18,11,2,11,8,40,37212.0,41.4,37170.6
19,16,3,6,2,86,55995.46,127.55,55867.91
20,17,1,14,15,68,57132.920000000006,28.23,57104.69
21,36,2,15,17,8,7612.24,163.58,7448.66
22,21,1,24,15,48,17472.48,106.46,17366.02
23,43,1,7,2,74,19877.14,58.58,19818.56
24,4,2,11,16,58,21112.58,33.66,21078.92
25,43,3,6,4,77,20682.97,26.29,20656.68
26,3,1,17,4,67,25900.19,84.23,25815.96
3,21,3,7,16,61,58043.33,76.76,57966.57
27,22,3,8,15,24,20948.4,136.32,20812.08
28,14,1,18,4,28,12910.52,51.68,12858.839999999998
29,23,3,5,8,86,85581.18,227.78,85353.4
30,24,3,17,17,85,54579.35,23.36,54555.99
31,4,1,7,16,13,4732.13,42.55,4689.58
32,9,1,9,8,37,16024.7,93.32,15931.38
730,21,2,9,17,38,16457.8,8.02,16449.78
33,16,2,19,16,44,28648.84,68.57,28580.27
34,1,3,5,15,92,60016.2,20.67,59995.530000000006
35,3,2,11,15,59,22807.63,92.33,22715.3
730,22,3,19,17,73,63718.05,259.12,63458.93
36,21,2,24,2,55,2542.65,10.42,2532.23
37,30,1,21,8,95,41022.9,89.46,40933.44
38,16,3,21,16,61,39717.71,27.58,39690.13
39,1,2,8,8,54,35226.9,12.93,35213.97
40,17,1,5,15,59,49571.21000000001,155.38,49415.83000000001
41,5,3,17,15,67,44223.35,151.1,44072.25
42,14,3,12,8,74,34120.66,124.19,33996.469999999994
43,9,2,5,8,87,37679.7,89.28,37590.420000000006
44,4,3,3,15,51,18564.51,74.9,18489.61
45,3,3,8,2,55,21261.35,26.76,21234.59
46,23,3,7,17,32,31844.16,227.24,31616.92
