Mois,ProductCategory,TotalVentes,TotalRevenue
1900-01,Home & Garden,7129,2095329.05
1900-01,Books,16209,11396704.91
1900-01,Electronics,15352,10014999.6
1900-01,InvalidCategory,5569,1429973.0
1900-01,Clothing,3163,2918553.15
2021-09,InvalidCategory,307,104333.64
2021-09,Books,625,479547.86
2021-09,Electronics,535,384217.31
2021-09,Home & Garden,501,143059.59
2021-09,Clothing,148,124381.21
2021-10,InvalidCategory,3334,822645.84
2021-10,Clothing,2967,2650749.41
2021-10,Books,9587,6093765.94
2021-10,Electronics,8332,5495096.07
2021-10,Home & Garden,4873,1514891.12
2021-11,Books,7399,4800702.5
2021-11,Electronics,10419,6769500.84
2021-11,Home & Garden,3397,898684.08
2021-11,Clothing,2973,2839031.0
2021-11,InvalidCategory,4030,1043762.45
2021-12,InvalidCategory,4187,1029750.29
2021-12,Electronics,7852,4630863.09
2021-12,Books,7936,5813411.15
2021-12,Home & Garden,3912,1350855.0
2021-12,Clothing,2120,2119648.01
2022-01,Electronics,10206,6092815.39
2022-01,Home & Garden,2821,714826.36
2022-01,Clothing,2292,2145364.15
2022-01,Books,8796,6324680.09
2022-01,InvalidCategory,4164,897955.3
2022-02,Electronics,8901,5588606.93
2022-02,Books,7203,5147960.63
2022-02,Clothing,2571,2342385.88
2022-02,InvalidCategory,3962,694894.21
2022-02,Home & Garden,3038,784062.08
2022-03,Electronics,9315,5645779.74
2022-03,Books,8640,6050560.67
2022-03,InvalidCategory,4982,1156838.5
2022-03,Clothing,3543,3369831.38
2022-03,Home & Garden,3548,1005256.35
2022-04,Home & Garden,4535,883064.13
2022-04,Books,9214,7298255.99
2022-04,Clothing,1808,1569204.62
2022-04,Electronics,8002,5352357.01
2022-04,InvalidCategory,4930,971097.95
2022-05,InvalidCategory,4618,1205513.96
2022-05,Electronics,8708,5485838.44
2022-05,Clothing,2813,2599108.23
2022-05,Books,9314,6435396.74
2022-05,Home & Garden,4537,1115006.51
2022-06,Electronics,11204,6397721.75
2022-06,Books,7436,5549317.21
2022-06,InvalidCategory,3820,820868.83
2022-06,Clothing,2076,1967127.35
2022-06,Home & Garden,2895,974541.08
2022-07,Electronics,8926,5716121.16
2022-07,InvalidCategory,4501,1155442.02
2022-07,Books,10366,6320729.79
2022-07,Home & Garden,3588,1246946.99
2022-07,Clothing,2035,1994162.45
2022-08,InvalidCategory,4302,1007470.39
2022-08,Books,7450,5259784.43
2022-08,Electronics,10412,6322951.05
2022-08,Home & Garden,4506,938782.67
2022-08,Clothing,3168,2667675.13
2022-09,Books,10786,7097919.18
2022-09,Electronics,8425,4795417.92
2022-09,Home & Garden,3906,1406800.41
2022-09,InvalidCategory,4104,886998.17
2022-09,Clothing,2916,2846171.79
2022-10,Books,10000,6720655.27
2022-10,Electronics,7619,4878613.24
2022-10,Home & Garden,3737,1100579.1
2022-10,InvalidCategory,4443,1078538.46
2022-10,Clothing,1600,1465384.0
2022-11,Home & Garden,3242,816696.09
2022-11,Books,10105,6450426.03
2022-11,InvalidCategory,6927,1601322.62
2022-11,Electronics,10315,6582683.98
2022-11,Clothing,2280,2076299.93
2022-12,Electronics,8477,4455213.71
2022-12,InvalidCategory,2906,559107.52
2022-12,Books,7561,5184517.29
2022-12,Home & Garden,4337,1090482.4
2022-12,Clothing,2745,2391630.93
2023-01,Electronics,8760,5903207.0
2023-01,Books,9723,6213010.97
2023-01,InvalidCategory,4772,1255643.11
2023-01,Clothing,1828,1566764.04
2023-01,Home & Garden,3977,946830.82
2023-02,Books,7480,5466438.96
2023-02,Clothing,1666,1599934.28
2023-02,InvalidCategory,2619,547014.3
2023-02,Home & Garden,2185,641814.17
2023-02,Electronics,6902,4095504.09
2023-03,InvalidCategory,4990,1300108.24
2023-03,Books,8091,5761246.24
2023-03,Electronics,6917,3918650.97
2023-03,Clothing,2843,2695394.3
2023-03,Home & Garden,4031,1015120.61
2023-04,Books,9831,6763647.03
2023-04,Electronics,10251,6287092.64
2023-04,Home & Garden,3958,775596.29
2023-04,InvalidCategory,2219,632494.3
2023-04,Clothing,1869,1813174.45
2023-05,Electronics,9534,6005761.61
2023-05,Books,10665,6858088.57
2023-05,Clothing,2184,2046878.48
2023-05,Home & Garden,3415,1018626.36
2023-05,InvalidCategory,2588,567587.31
2023-06,Books,9268,6722124.57
2023-06,Electronics,9272,5351942.72
2023-06,Clothing,3462,3199132.4
2023-06,InvalidCategory,5470,1298442.11
2023-06,Home & Garden,4046,1148794.93
2023-07,Electronics,12438,7513979.0
2023-07,Books,9512,6751071.74
2023-07,Home & Garden,4812,1490998.33
2023-07,Clothing,2238,2010866.08
2023-07,InvalidCategory,3821,917446.41
2023-08,Books,8851,6073985.41
2023-08,Home & Garden,4859,1235407.44
2023-08,Electronics,7565,5135895.66
2023-08,InvalidCategory,6857,1855228.63
2023-08,Clothing,4095,3530418.88
2023-09,Electronics,10063,6525571.73
2023-09,Clothing,3349,3239432.98
2023-09,InvalidCategory,4982,1329797.28
2023-09,Books,9457,6984233.06
2023-09,Home & Garden,3580,966806.04
